,BPL.BLD.ID,X2.1,X2.3,X2.4,X3.1,X3.2,X3.4,X3.6,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.4,X5.5,X6.1,X6.2,X7.1,X7.2,X7.3,X8.1,X8.2,X8.3,X8.4,X8.5
1,1003,0,NA,NA,NA,NA,NA,NA,-0.6,0,NA,NA,-0.2,NA,NA,NA,NA,0,0,NA,NA,NA,0.2,NA,NA,NA,NA
2,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0
3,1014,0,0.25,0,NA,NA,0,NA,NA,0,0,1,0.4,NA,NA,NA,NA,0,NA,0,0,-0.25,NA,NA,NA,NA,NA
4,1016,0,-0.25,0,0,-0.25,-1,0,0.8,0.6,0.6,NA,0.8,1,0.8,NA,NA,0,0,0,-1,0,0,-1,1,NA,0.5
5,1019,1,0,0,0,0,0,0,-1,-0.2,-1,0,0,0,-0.6,-1,-1,1,0.5,0.8,0,0,-0.2,0,0,0,0
6,1021,0,0.25,0,NA,NA,0,0.25,NA,0.6,-0.4,-0.4,0.4,NA,-0.4,-0.5,0,0,0,1,1,1,0,0,0,0,0
7,1023,-1,0,0,0,0.25,0,0,-0.4,0,0,0.6,0.4,0.4,-0.6,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA
8,1027,0.666666667,-0.5,0.5,-0.25,0,0,-0.25,0,NA,0,-0.6,0,0,0,NA,NA,0.5,-0.5,0,0.25,NA,NA,NA,NA,NA,NA
9,1028,-1,0.5,0.25,-0.5,0,0,0.25,1,0.2,1,0,0.4,0.4,0.4,-0.25,-0.8,0,0.25,0,0,1,NA,NA,NA,NA,NA
10,1031,NA,-0.5,0.5,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA
11,1032,NA,0,0,1,0,0,0,0,NA,NA,NA,0,1,0,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA
12,1033,0,NA,NA,NA,NA,0,-0.25,NA,0.4,NA,NA,-0.2,0,-0.4,NA,NA,0,0,1,1,NA,0,NA,NA,NA,NA
13,1034,0,1,0,0.5,0,0,0.5,NA,0,0,0,NA,NA,NA,0,0,0,1,1,-1,1,1,0,0,0,0
14,1038,1,-0.25,0,-0.5,0,0,0.25,0,0.2,0,0.6,0.4,0.6,0.2,0,-1,-1,-0.75,0.6,0,0,-0.4,0,NA,NA,0
15,1042,-1,0,0.25,0.5,0.5,NA,0,0,NA,NA,NA,0,-0.2,-0.2,NA,-0.8,0,0.5,0.2,0.25,0.25,0.4,NA,NA,NA,NA
16,1043,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
17,1047,0,0.5,0,0,0,0,0,0,0,1,NA,0,0,0.2,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA
18,1052,0,0.25,1,0.25,1,0,0,0.4,0,0,0.6,0,0,0,0.25,0,1,1,0,1,0,0,1,1,0,-0.5
19,1055,0,0.25,1,NA,NA,0,0.25,0,0,0,0,-0.4,0,0.4,0,1,-1,-1,1,1,1,NA,NA,NA,NA,NA
20,1057,0,-0.75,0,NA,NA,0,0,0.4,0,0,-0.2,0.4,0.4,-0.2,NA,NA,0,-1,0,-1,0.5,NA,NA,NA,NA,NA
21,1058,NA,0.25,0,NA,0,0,0.5,0,0,1,1,0,1,0.6,NA,NA,0,0,-0.4,0,0,NA,NA,NA,NA,NA
22,1068,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,-0.25,0.2,0,1,0,-1
23,1073,0,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA
