BPL.BLD.ID,X1.1,X1.2,X1.3,X1.4,X2.1,X2.2,X2.3,X2.4,X2.5,X3.1,X3.2,X3.3,X3.4,X3.5,X3.6,X3.7,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.1,X5.2,X5.3,X5.4,X5.5,X5.6,X6.1,X6.2,X6.3,X7.1,X7.2,X7.3,X7.4,X8.1,X8.2,X8.3,X8.4,X8.5
1003,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.6,0,NA,NA,-0.2,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0.2,NA,NA,NA,NA
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,-1,0.6,0,0,0,0,0,0,1,0,0
1014,0,0,0,0,0,0,0.25,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,1,0.4,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,-0.25,0,NA,NA,NA,NA,NA
1016,0,-0.25,0,0,0,0,-0.25,0,0,0,-0.25,0,-1,0,0,0,0.8,0.6,0.6,NA,0.8,1,0.8,0,0,0,NA,NA,NA,0,0,0,0,-1,0,0,0,-1,1,NA,0.5
1019,0,0.25,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,-1,-0.2,-1,0,0,0,-0.6,0,0,-0.6,-1,-1,1,1,0.5,0,0.8,0,0,0,-0.2,0,0,0,0
1021,0,0,0,0,0,0,0.25,0,-0.5,NA,NA,0,0,-1,0.25,0,NA,0.6,-0.4,-0.4,0.4,NA,-0.4,0,0,0.2,-0.5,0,NA,0,0,0,1,1,1,0,0,0,0,0,0
1023,0,0,0,0,-1,0,0,0,0,0,0.25,0,0,0,0,0,-0.4,0,0,0.6,0.4,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,-1,0,NA,NA,NA,NA,NA
1027,0,0,0,0,0.666666667,0,-0.5,0.5,0,-0.25,0,0,0,0,-0.25,0,0,NA,0,-0.6,0,0,0,0,0,0,NA,NA,NA,0.5,-0.5,0,0,0.25,NA,-1,NA,NA,NA,NA,NA
1028,0,-0.25,0,0,-1,0,0.5,0.25,0,-0.5,0,0.2,0,1,0.25,0,1,0.2,1,0,0.4,0.4,0.4,0,0,0,-0.25,-0.8,0,0,0.25,0,0,0,1,0,NA,NA,NA,NA,NA
1031,0,0,0,0,NA,0,-0.5,0.5,0,NA,NA,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
