,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
X1.1,2,125,-0.008,0.100080613,0,0,0,-0.5,0.25,0.75,-2.504961167,13.60467047,0.008951482
X1.2,3,126,-0.003968254,0.170247253,0,0,0,-1,1,2,-0.282449492,17.71026948,0.015166831
X1.3,4,130,0,0,0,0,0,0,0,0,NA,NA,0
X1.4,5,128,0.0125,0.24040648,0,0,0,-1,1,2,0.528822983,13.54909268,0.021249132
X2.1,6,102,0.098039216,0.47740644,0,0.089430894,0,-1,1,2,0.242281517,0.966392047,0.047270281
X2.2,7,126,0.015873016,0.222539456,0,0,0,-1,1,2,1.707690678,13.58105806,0.01982539
X2.3,8,111,0.042792793,0.477771667,0,0.039325843,0.37065,-1,1,2,-0.033377784,-0.014780961,0.04534808
X2.4,9,99,0.106060606,0.498839098,0,0.114197531,0,-1,1,2,-0.038340008,0.111250557,0.050135216
X2.5,10,110,0.027272727,0.492309497,0,0.028409091,0,-1,1,2,0.006573669,0.559077898,0.046939869
X3.1,11,104,-0.009615385,0.386236316,0,-0.00297619,0,-1,1,2,-0.139833956,1.59001489,0.037873587
X3.2,12,98,0.140306122,0.520292253,0,0.15625,0,-1,1,2,0.050159874,-0.041106766,0.052557454
X3.3,13,135,0.001481481,0.157397294,0,0,0,-1,1,2,-1.836499129,33.43059237,0.013546602
X3.4,14,112,0.026785714,0.462266672,0,0.026666667,0,-1,1,2,0.163762947,1.434233101,0.043680095
X3.5,15,125,0.0544,0.419966204,0,0.041584158,0,-1,1,2,0.139400811,1.95470688,0.037562919
X3.6,16,129,-0.025193798,0.362883635,0,-0.021428571,0,-1,1,2,-0.236574091,1.003978043,0.031950123
X3.7,17,119,-0.033613445,0.180994106,0,0,0,-1,0,1,-5.110302773,24.31977354,0.016591702
X4.1,18,94,0.061702128,0.535233118,0,0.068421053,0,-1,1,2,0.068707774,-0.200642926,0.055205081
X4.2,19,110,0.085454545,0.393953465,0,0.065909091,0,-1,1,2,0.400045367,1.464627168,0.037561989
X4.3,20,111,0.122522523,0.57598685,0,0.152808989,0,-1,1,2,-0.061951802,-0.27251228,0.054670252
X4.5,21,100,0.096,0.494396888,0,0.0925,0.29652,-1,1,2,0.13888808,-0.105686258,0.049439689
X4.6,22,118,0.025423729,0.311101281,0,0.027083333,0,-1,0.8,1.8,-0.263898164,1.072099831,0.028639194
X4.7,23,112,0.183928571,0.497299658,0,0.191111111,0.29652,-1,1,2,0.05604593,-0.20936135,0.046990401
X4.8,24,109,0.009174312,0.427209135,0,0.02247191,0.29652,-1,1,2,-0.273760407,0.114845549,0.040919214
X5.1,25,127,0.047244094,0.215961038,0,0,0,-0.6,1,1.6,3.278451651,12.80642559,0.019163443
X5.2,26,129,0.037209302,0.216170422,0,0,0,-0.6,1,1.6,3.092361614,13.562406,0.019032744
X5.3,27,119,0.055462185,0.2628712,0,0.008247423,0,-0.6,1,1.6,2.149788813,6.871917814,0.024097363
X5.4,28,65,-0.003846154,0.470812769,0,-0.004716981,0,-1,1,2,-0.047273141,0.959606932,0.058397137
X5.5,29,68,0.020588235,0.580416429,0,0.025,0,-1,1,2,-0.003211102,-0.265107344,0.070385831
X5.6,30,58,0.017241379,0.521178803,0,0.020833333,0,-1,1,2,0.024220433,0.524779088,0.068434129
X6.1,31,114,0.067982456,0.513409874,0,0.08423913,0,-1,1,2,0.08500078,0.569403392,0.04808524
X6.2,32,109,0,0.512573391,0,0,0,-1,1,2,0.076640416,0.575002301,0.049095627
X6.3,33,113,-0.005309735,0.252784743,0,0,0,-1,1,2,0.023020642,7.98142974,0.023779988
X7.1,34,111,0.16036036,0.46773716,0,0.146067416,0,-1,1,2,0.355389913,0.397043552,0.044395647
X7.2,35,102,0.235294118,0.578945278,0,0.277439024,0,-1,1,2,-0.118724173,-0.491291314,0.057324124
X7.3,36,93,0.137096774,0.518038904,0,0.163333333,0,-1,1,2,-0.169467946,0.273812941,0.053718132
X7.4,37,120,-0.016666667,0.182574186,0,0,0,-1,1,2,-2.46627296,26.04979167,0.016666667
X8.1,38,66,0.06969697,0.355168301,0,0.040740741,0,-1,1,2,0.530014643,3.279189026,0.043718196
X8.2,39,54,0.103703704,0.510627791,0,0.122727273,0,-1,1,2,0.079065153,0.414834371,0.069487641
X8.3,40,45,0.294444444,0.486432073,0,0.290540541,0,-0.75,1,1.75,0.334575927,-1.124725544,0.072513012
X8.4,41,40,0.01875,0.618588913,0,0.0234375,0.37065,-1,1,2,-0.004523788,-0.716530894,0.097807495
X8.5,42,46,0.027173913,0.522356469,0,0.032894737,0,-1,1,2,-0.026503574,0.17076332,0.07701726
