BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience,LogCheck
9999,Weekly,Monthly,Weekly,Weekly,Seasonally,Weekly,Weekly,Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Seasonally,Weekly,Weekly,Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,NA,NA,Not Applicable
1003,Daily,Daily,Not applicable,Not applicable,Daily,Seasonally,Not applicable,Not applicable,Daily,Not applicable,Seasonally,Daily,Not applicable,Daily,Seasonally,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Not applicable,Not applicable,Not applicable,Not applicable,55+,10-15Y,Y
1009,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Daily,Never,Never,Daily,Never,Daily,Never,Never,55+,20+Y,
1014,Daily,Daily,Monthly,Seasonally,Seasonally,Seasonally,Seasonally,Never,Never,Never,Not applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Daily,Daily,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1016,Monthly,Daily,Monthly,Weekly,Weekly,Weekly,Monthly,Never,Daily,Seasonally,Weekly,Daily,Daily,Not applicable,Weekly,Daily,Weekly,Daily,Daily,Not applicable,Not applicable,Not applicable,Weekly,Weekly,Daily,Never,Never,Daily,Never,Weekly,NA,Seasonally,35-44,20+Y,
1019,Daily,Weekly,Weekly,Never,Never,Weekly,Weekly,Never,Never,Seasonally,Never,Weekly,Never,Never,Daily,Never,Never,Daily,Seasonally,Never,Never,Seasonally,Daily,Seasonally,Weekly,Never,Never,Weekly,Never,Never,Never,Never,55+,10-15Y,
1021,Daily,Weekly,Weekly,Never,Annually,Not applicable,Not applicable,Never,Never,Weekly,Not applicable,Daily,Never,Never,Weekly,Never,Never,Daily,Daily,Never,Never,Never,Daily,Daily,Daily,Daily,Daily,Weekly,Never,Never,Never,Never,55+,15-20Y,
1023,Daily,Never,Seasonally,Never,Seasonally,Daily,Daily,Never,Daily,Seasonally,Never,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,
1027,Daily,Seasonally,Seasonally,Seasonally,Seasonally,Seasonally,Never,Never,Daily,Seasonally,Never,Seasonally,Daily,Seasonally,Daily,Daily,Monthly,Daily,Daily,Not applicable,Not applicable,NA,Daily,Never,Monthly,Monthly,NA,NA,NA,NA,NA,NA,44-54,20+Y,
1028,Monthly,Never,Weekly,Monthly,Seasonally,Seasonally,Never,Never,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Never,Seasonally,Daily,Daily,Weekly,Weekly,Weekly,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1031,Daily,Daily,Seasonally,Seasonally,Seasonally,Seasonally,Seasonally,Never,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,Y
1032,NA,NA,Daily,Never,Daily,Daily,Never,Never,Never,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Never,Never,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35-44,15-20Y,
1033,Daily,Daily,Not applicable,Not applicable,Not applicable,Seasonally,Never,Never,Seasonally,Seasonally,Never,Daily,Never,Daily,Seasonally,Never,Never,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Not applicable,Daily,Not applicable,Not applicable,Not applicable,Not applicable,55+,15-20Y,Y
1034,Daily,Daily,Daily,Never,Daily,Seasonally,Never,Never,Daily,Seasonally,Never,Daily,Never,Never,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Never,Monthly,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Never,Never,55+,20+Y,
1038,Daily,Daily,Seasonally,Never,Annually,Never,Never,Never,Daily,Daily,Never,Daily,Never,Daily,Daily,Monthly,Monthly,Daily,Not applicable,Daily,Never,Never,Never,Never,Monthly,Never,Never,Annually,Never,No understanding,No understanding,Never,35-44,20+Y,
1042,Weekly,Never,Monthly,Monthly,Seasonally,Weekly,Weekly,Not applicable,Daily,Monthly,Monthly,Not applicable,Not applicable,Not applicable,Monthly,Weekly,Monthly,Daily,Weekly,NA,Never,Seasonally,Daily,Weekly,Monthly,Monthly,Seasonally,Weekly,Not applicable,Seasonally,Never,Seasonally,44-54,15-20Y,
1043,Daily,Not applicable,Daily,Daily,Seasonally,Not applicable,Not applicable,Daily,Daily,Seasonally,Seasonally,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Daily,Daily,Daily,Daily,Daily,35-44,15-20Y,Y
1047,Daily,Weekly,Monthly,Never,Monthly,Daily,Never,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Never,Never,Daily,Never,Never,NA,NA,NA,NA,NA,44-54,15-20Y,
