BPL.BLD.ID,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,3.7,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.2,5.3,5.4,5.5,5.6,6.1,6.2,6.3,7.1,7.2,7.3,7.4,8.1,8.2,8.3,8.4,8.5,Age,Experience
9999,Weekly,Weekly,Daily,Daily,Monthly,Monthly,Weekly,Weekly,Seasonally,Weekly,Weekly,Daily,Daily,Daily,Weekly,Annually,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Seasonally,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Annually,Daily,Daily,Weekly,Weekly,Weekly,NA,NA
1001,Daily,Daily,Never,Daily,Weekly,Daily,Weekly,Never,Weekly,Seasonally,Never,Daily,Never,Daily,Seasonally,Seasonally,Seasonally,Seasonally,Never,Seasonally,Seasonally,Never,Seasonally,Daily,Daily,Seasonally,Never,Never,Seasonally,Never,Daily,Daily,Never,Never,Never,Seasonally,Seasonally,Never,Never,Never,Seasonally,55+,20+Y
1002,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Daily,Annually,Monthly,Never,Daily,Daily,Monthly,Monthly,Monthly,Seasonally,Monthly,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Daily,Monthly,Daily,Daily,Seasonally,Daily,Daily,Annually,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1003,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Seasonally,Seasonally,Daily,Daily,Daily,Not Applicable,Monthly,Daily,Not Applicable,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Daily,Daily,Not Applicable,Not Applicable,Seasonally,Weekly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,5-10Y
1004,Weekly,Weekly,Daily,Daily,Never,Daily,Never,Never,Seasonally,Not Applicable,Not Applicable,Daily,Never,Daily,Seasonally,Seasonally,Never,Daily,Never,Not Applicable,Monthly,Never,Never,Daily,Daily,Daily,Not Applicable,Never,Seasonally,Daily,Daily,Daily,Weekly,Never,Never,Seasonally,Never,Never,Never,Never,Never,45-54,5-10Y
1005,Daily,Weekly,Daily,Seasonally,Monthly,Monthly,Daily,Never,Seasonally,Weekly,Seasonally,Daily,Never,Daily,Seasonally,Seasonally,Weekly,Daily,Daily,Weekly,Daily,Daily,Monthly,Daily,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Not Applicable,Not Applicable,Seasonally,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1008,Monthly,Monthly,Daily,Daily,Never,Monthly,Never,Never,Never,Seasonally,Never,Daily,Never,Daily,Annually,Annually,Never,Daily,Daily,Daily,Monthly,Monthly,Daily,Weekly,Daily,Monthly,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Daily,Monthly,Never,Never,Monthly,Never,Never,Never,Never,Never,45-54,15-20Y
1009,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Daily,Never,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Seasonally,Daily,Never,Never,Seasonally,Daily,Never,Never,Never,Never,55+,20+Y
1011,Daily,Daily,Daily,Daily,Monthly,Monthly,Monthly,Never,Seasonally,Daily,Monthly,Daily,Never,Daily,Weekly,Seasonally,Not Applicable,Monthly,Seasonally,Seasonally,Monthly,Seasonally,Monthly,Daily,Daily,Seasonally,Seasonally,Seasonally,Seasonally,Weekly,Monthly,Weekly,Weekly,Monthly,Never,Seasonally,Weekly,Never,Never,Never,Never,55+,20+Y
1012,Weekly,Daily,Daily,Daily,Seasonally,Seasonally,Daily,Never,Never,Seasonally,Seasonally,Daily,Never,Daily,Monthly,Seasonally,Never,Daily,Not Applicable,Not Applicable,Monthly,Daily,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Monthly,Never,Never,Never,Never,Never,35-40,10-15Y
