BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience
9999,Weekly,Monthly,Weekly,Weekly,Seasonally,Weekly,Weekly,Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Seasonally,Weekly,Weekly,Daily,Weekly,Weekly,Daily,Daily,Weekly,Weekly,Weekly,NA,NA
1001,Daily,Weekly,Weekly,Never,Weekly,Seasonally,Never,Never,Daily,Seasonally,Seasonally,Seasonally,Never,Seasonally,Seasonally,Never,Seasonally,Daily,Seasonally,Never,Never,Seasonally,Never,Daily,Never,Never,Never,Seasonally,Never,Never,Never,Seasonally,55+,20+Y
1002,Daily,Monthly,Daily,Daily,Annually,Monthly,Never,Daily,Monthly,Monthly,Seasonally,Monthly,Daily,Seasonally,Daily,Daily,Seasonally,Daily,Seasonally,Daily,Daily,Monthly,Daily,Daily,Daily,Daily,Annually,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,20+Y
1003,Daily,Daily,Not Applicable,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Seasonally,Daily,Daily,Daily,Not Applicable,Monthly,Daily,Not Applicable,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Daily,Not Applicable,Not Applicable,Weekly,Not Applicable,Not Applicable,Not Applicable,Not Applicable,55+,5-10Y
1004,Weekly,Never,Never,Never,Seasonally,Not Applicable,Not Applicable,Never,Daily,Seasonally,Never,Daily,Never,Not Applicable,Monthly,Never,Never,Daily,Daily,Not Applicable,Never,Seasonally,Daily,Daily,Weekly,Never,Never,Never,Never,Never,Never,Never,45-54,5-10Y
1005,Weekly,Monthly,Daily,Never,Seasonally,Weekly,Seasonally,Never,Daily,Seasonally,Weekly,Daily,Daily,Weekly,Daily,Daily,Monthly,Daily,Daily,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Not Applicable,Not Applicable,Seasonally,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,45-54,20+Y
1008,Monthly,Never,Never,Never,Never,Seasonally,Never,Never,Daily,Annually,Never,Daily,Daily,Daily,Monthly,Monthly,Daily,Weekly,Monthly,Not Applicable,Not Applicable,Not Applicable,Daily,Daily,Monthly,Never,Never,Never,Never,Never,Never,Never,45-54,15-20Y
1009,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not Applicable,Daily,Daily,Daily,Never,Never,Daily,Never,Never,Never,Never,55+,20+Y
1011,Daily,Monthly,Monthly,Never,Seasonally,Daily,Monthly,Never,Daily,Weekly,Not Applicable,Monthly,Seasonally,Seasonally,Monthly,Seasonally,Monthly,Daily,Seasonally,Seasonally,Seasonally,Seasonally,Weekly,Monthly,Weekly,Monthly,Never,Weekly,Never,Never,Never,Never,55+,20+Y
1012,Daily,Seasonally,Daily,Never,Never,Seasonally,Seasonally,Never,Daily,Monthly,Never,Daily,Not Applicable,Not Applicable,Monthly,Daily,Not Applicable,Daily,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Never,Never,Never,Never,Never,35-40,10-15Y
